year,labs
1968.291476737253, 0.8625305151004596
1968.5811791971996, 1.1895300535508682
1968.8998519031409, 1.5263574469820398
1969.2474948550766, 1.6022999627423857
1969.5951378070124, 1.6022999627423857
1969.9427807589484, 1.6022999627423857
1970.2904237108842, 1.6022999627423857
1970.63806666282, 1.6022999627423857
1970.9857096147557, 1.6022999627423857
1971.3333525666917, 1.6022999627423857
1971.6809955186275, 1.6022999627423857
1972.0286384705632, 1.6022999627423857
1972.3762814224992, 1.6022999627423857
1972.723924374435, 1.6022999627423857
1973.0715673263708, 1.6737752716932945
1973.390240032312, 1.982905982905983
1973.7089127382533, 2.299184225013761
1974.056555690189, 2.486806911009907
1974.4041986421248, 2.486806911009907
1974.7518415940608, 2.486806911009907
1975.0994845459966, 2.486806911009907
1975.4471274979323, 2.486806911009907
1975.7947704498683, 2.486806911009907
1976.142413401804, 2.486806911009907
1976.4900563537399, 2.486806911009907
1976.8376993056756, 2.486806911009907
1977.1853422576116, 2.486806911009907
1977.5329852095474, 2.486806911009907
1977.8806281614832, 2.567216633579676
1978.1413603754352, 2.9692652464285487
1978.3151818514032, 3.2909041367076526
1978.489003327371, 3.6214774406056094
1978.662824803339, 3.9609851581224405
1978.8366462793067, 4.282624048401537
1979.0973784932587, 4.519386009301428
1979.4450214451945, 4.523853216110858
1979.7926643971305, 4.523853216110858
1980.1403073490662, 4.523853216110858
1980.487950301002, 4.523853216110858
1980.835593252938, 4.523853216110858
1981.1832362048738, 4.523853216110858
1981.5308791568095, 4.523853216110858
1981.8785221087453, 4.523853216110858
1982.2261650606813, 4.523853216110858
1982.573808012617, 4.523853216110858
1982.9214509645528, 4.523853216110858
1983.2690939164888, 4.523853216110858
1983.6167368684246, 4.523853216110858
1983.9643798203604, 4.577459697824047
1984.2830525263016, 4.86693469907523
1984.6017252322429, 5.193934237525653
1984.9493681841786, 5.470901059710428
1985.2970111361144, 5.488769886948155
1985.6446540880504, 5.488769886948155
1985.9922970399862, 5.488769886948155
1986.339939991922, 5.488769886948155
1986.6875829438577, 5.488769886948155
1987.006255649799, 5.585261554031881
1987.2380176177562, 6.015900290461126
1987.4118390937242, 6.364342421596817
1987.585660569692, 6.721718966351368
1987.75948204566, 7.088029924724786
1988.0202142596117, 7.396267194575593
1988.3678572115477, 7.41860322862275
1988.7155001634835, 7.41860322862275
1989.0631431154193, 7.41860322862275
1989.4107860673553, 7.41860322862275
1989.758429019291, 7.41860322862275
1990.1060719712268, 7.41860322862275
1990.4537149231628, 7.41860322862275
1990.8013578750986, 7.41860322862275
1991.1490008270343, 7.41860322862275
1991.4966437789703, 7.41860322862275
1991.844286730906, 7.41860322862275
1992.1919296828419, 7.41860322862275
1992.5395726347776, 7.41860322862275
1992.8872155867136, 7.41860322862275
1993.2348585386494, 7.41860322862275
1993.5825014905852, 7.41860322862275
1993.9301444425212, 7.41860322862275
1994.277787394457, 7.41860322862275
1994.6254303463927, 7.41860322862275
1994.9730732983287, 7.41860322862275
1995.3207162502645, 7.41860322862275
1995.6683592022002, 7.41860322862275
1996.0160021541362, 7.41860322862275
1996.363645106072, 7.41860322862275
1996.7112880580078, 7.41860322862275
1997.0589310099435, 7.472209710335932
1997.3486334698903, 7.807250221043326
1997.5803954378473, 8.115487490894125
1997.8121574058046, 8.437126381173229
1998.0149491277673, 8.785568512308913
1998.188770603735, 9.107207402588017
1998.362592079703, 9.428846292867114
1998.536413555671, 9.75048518314621
1998.7102350316388, 10.072124073425307
1998.8840565076068, 10.393762963704411
1999.0578779835746, 10.715401853983508
1999.2316994595426, 11.037040744262605
1999.4055209355106, 11.358679634541701
1999.5793424114784, 11.680318524820805
1999.7531638874464, 12.001957415099902
1999.9559556094089, 12.35039954623559
2000.2166878233609, 12.661317140172049
2000.5063902833074, 12.945431493251924
2000.8250629892486, 13.275111355787999
2001.1727059411844, 13.368922698786069
2001.5203488931202, 13.368922698786069
2001.8679918450562, 13.377857112404932
2002.1866645509972, 13.59406992198144
2002.4763670109437, 13.910348164089218
2002.795039716885, 14.231093613006433
2003.1426826688207, 14.307036128766772
2003.4903256207567, 14.307036128766772
2003.8379685726925, 14.311503335576209
2004.127671032639, 14.501359624977063
2004.3594330005963, 14.78949446418542
2004.620165214548, 15.105772706293198
2004.9388379204893, 15.388100176649296
2005.286480872425, 15.405969003887027
2005.634123824361, 15.405969003887027
2005.8755425409831, 15.611460517120896
2005.9817667762968, 16.062648404873517
2006.0976477602753, 16.59871322200535
2006.2038719955892, 17.058835523376835
2006.2811259849082, 17.541293858795484
2006.3873502202218, 17.99248174654811
2006.5032312042006, 18.528546563679942
2006.619112188179, 19.064611380811773
2006.7523753197545, 19.694487540941672
2006.8508741561363, 20.15014263550373
2006.966755140115, 20.498584766639418
2007.0826361240936, 20.84702689777511
2007.1985171080723, 21.1954690289108
2007.3143980920509, 21.543911160046488
2007.4302790760294, 21.87895167075388
2007.546160060008, 22.24079542231787
2007.6620410439866, 22.575835933025264
2007.7779220279654, 22.92427806416095
2007.9517435039331, 23.28612181572494
2008.2414459638796, 23.580957465147446
2008.5890889158156, 23.902596355426546
2008.9367318677514, 24.224235245705643
2009.2843748196872, 24.54587413598474
2009.6320177716232, 24.86751302626384
2009.979660723559, 25.135545434829755
2010.3273036754947, 25.162348675686346
2010.6749466274307, 25.162348675686346
2011.0225895793665, 25.296364879969303
2011.3702325313022, 25.613536563438974
2011.7178754832382, 25.88603617881432
2012.0075779431847, 26.194273448665122
2012.1813994191525, 26.636526922798883
2012.2972804031313, 27.011772294791164
2012.4131613871098, 27.387017666783443
2012.5290423710885, 27.762263038775725
2012.6738936010618, 28.173246065243465
2012.7608043390455, 28.51275378276029
2012.8766853230243, 28.86119591389598
2012.9925663070028, 29.23644128588826
2013.1084472909815, 29.61168665788054
2013.22432827496, 29.986932029872825
2013.3498660076036, 30.335374161008513
2013.4560902429173, 30.710619533000795
2013.571971226896, 31.085864904993077
2013.6878522108746, 31.46111027698536
2013.8327034408478, 31.889962130690822
2014.064465408805, 32.23840426182652
2014.3541678687516, 32.560043152105614
2014.643870328698, 32.89240333872735
2014.9335727886446, 33.22476352534908
2015.1653347566019, 33.57856630465609
2015.3391562325698, 33.935942849410644
2015.5129777085376, 34.293319394165195
2015.6867991845056, 34.65069593891975
2015.8606206604736, 35.01700689729317
2016.0344421364414, 35.37438344204772
2016.2082636124094, 35.722825573183414
2016.3820850883774, 36.09807094517569
2016.5559065643452, 36.45544748993025
2016.7297280403131, 36.803889621065935
2016.9035495162811, 37.17020057943935
2017.077370992249, 37.52757712419391
2017.251192468217, 37.88495366894846
2017.4250139441847, 38.24233021370302
2017.5988354201527, 38.6175755856953
2017.7726568961207, 38.96601771683099
2017.9464783720884, 39.31445984796668
2018.1202998480564, 39.68970521995896
2018.2941213240244, 40.04708176471352
2018.4679427999922, 40.39552389584921
2018.670734521955, 40.80203971550751
