Publication Years	Record Count	% of 277,012
2013	9599	3.465
2021	9480	3.422
2012	9003	3.250
2009	8834	3.189
2014	8787	3.172
2011	8730	3.151
2020	8699	3.140
2022	8638	3.118
2018	8564	3.092
2016	8517	3.075
2010	8471	3.058
2015	8338	3.010
2008	7943	2.867
2006	7903	2.853
2007	7609	2.747
2019	7543	2.723
2017	7263	2.622
2004	6759	2.440
2005	6371	2.300
2003	5740	2.072
2000	5478	1.978
1995	5341	1.928
2001	5332	1.925
2023	5289	1.909
1994	5282	1.907
1991	5239	1.891
1998	5237	1.891
2002	5210	1.881
1996	4774	1.723
1993	4732	1.708
1997	4732	1.708
1999	4685	1.691
1992	4634	1.673
1990	4632	1.672
1989	3272	1.181
1988	2892	1.044
1987	2787	1.006
1985	2198	0.793
1986	2098	0.757
1984	2038	0.736
1981	1970	0.711
1982	1954	0.705
1983	1951	0.704
1980	1923	0.694
1979	1820	0.657
1978	1650	0.596
1977	1641	0.592
1976	1589	0.574
1974	1511	0.545
1973	1462	0.528
1975	1419	0.512
1972	1380	0.498
1971	1036	0.374
1970	1011	0.365
1969	936	0.338
1968	856	0.309
1961	636	0.230
1965	597	0.216
1967	576	0.208
1966	503	0.182
1964	399	0.144
1962	387	0.140
1963	378	0.136
1960	202	0.073
1959	189	0.068
1958	132	0.048
1957	97	0.035
1956	78	0.028
1955	40	0.014
1953	8	0.003
1954	8	0.003